Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Quebec, Provinz 1,85% 20/27",A28TLW,"97,69",21.01.25 17:00,0,"0,56","1,85%",Canadische Dollar,-
"Mercedes-Benz Group AG 0,75% 20/30",A289QR,"87,16",21.01.25 09:21,0,"0,20","0,75%",Euro,-
"Vonovia SE 0,625% 21/31",A3E5FR,"83,61",21.01.25 08:12,0,"0,04","0,63%",Euro,-
"SIGNA Development Finance S.C.S. 5,5% 21/26",A3KS5R,"10,00",21.01.25 09:21,0,"0,00","5,50%",Euro,-
"Landesbank Baden-Württemberg 0,375% 19/26",LB2CLH,"95,65",21.01.25 12:58,0,"-0,01","0,38%",Euro,-
"Landesbank Baden-Württemberg 1,5% 20/25",LB2CQX,"99,57",21.01.25 09:21,0,"0,01","1,50%",Britische Pfund,-
"Landesbank Baden-Württemberg 1,125% 20/25",LB2CU8,"96,30",21.01.25 09:21,0,"-0,10","1,13%",Britische Pfund,-
"New Immo Holding S.A. 2,75% 19/26",A2SAYM,"95,25",21.01.25 09:21,0,"0,16","2,75%",Euro,-
"Caisse Francaise de Financement Local 3,125% 22/27",A3LBDB,"101,08",21.01.25 09:21,0,"-0,02","3,13%",Euro,-
"Banco BPM S.p.A. 0,75% 22/27",A3K296,"95,64",21.01.25 09:21,0,"-0,02","0,75%",Euro,-
"Aker Horizons ASA 7,95% 21/25",A3KLNA,"99,57",21.01.25 09:21,0,"-0,03","7,95%",Norwegische Kronen,-
"European Investment Bank (EIB) 2,125% 16/26",A18Z2Y,"97,20",21.01.25 09:21,0,"0,03","2,13%",US-Dollar,"1,79%"
"European Investment Bank (EIB) 0,75% 20/30",A282R9,"81,49",21.01.25 10:00,0,"0,23","0,75%",US-Dollar,-
"International Finance Corp. 2,125% 16/26",A18ZRG,"97,35",21.01.25 09:21,0,"0,07","2,13%",US-Dollar,"4,47%"
"Japan Bank for International Cooperation 4,38% 22/27",A3K94B,"99,21",21.01.25 09:21,0,"0,07","4,38%",US-Dollar,-
"Münchener Rückversicherungs-Gesellschaft AG in München 5,875% 22/42",A3MQV3,"100,98",21.01.25 09:21,0,"0,16","5,88%",US-Dollar,-
"Rumo Luxembourg Sàrl 5,25% 20/28",A28ZLC,"96,65",21.01.25 17:00,0,"-0,17","5,25%",US-Dollar,-
"Kommunalbanken AS 2,125% 15/25",A1ZWN2,"99,87",21.01.25 09:21,0,"0,00","2,13%",US-Dollar,"2,87%"
