Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,34",04.02.25 16:37,"10,45 Mio.","0,03","1,00%",Euro,"2,26%"
"Deutschland, Bundesrepublik 0,000% 20/25",114182,"98,53",04.02.25 16:00,"10,36 Mio.","-0,01",-,Euro,-
"Deutschland, Bundesrepublik 2,7% 24/26",BU2206,"100,98",04.02.25 16:00,"10,10 Mio.","0,00","2,70%",Euro,-
"Deutschland, Bundesrepublik 2,8% 23/25",BU2201,"100,13",04.02.25 16:00,"10,02 Mio.","0,00","2,80%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",103071,"98,53",04.02.25 16:00,"9,85 Mio.","0,01",-,Euro,-
"Deutschland, Bundesrepublik 0,000% 16/26",110240,"97,00",04.02.25 16:00,"9,70 Mio.","0,00",-,Euro,"2,03%"
"Frankreich, Republik 0,000% 21/25",A3K1JU,"99,82",04.02.25 14:40,"1,61 Mio.","0,00",-,Euro,-
"Deutschland, Bundesrepublik 0,000% 22/27",114185,"95,72",04.02.25 16:00,557.018,"0,00",-,Euro,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2203,"100,74",04.02.25 16:00,508.687,"0,00","3,10%",Euro,-
"Deutschland, Bundesrepublik 0,000% 21/26",114183,"97,64",04.02.25 16:29,507.627,"0,02",-,Euro,-
"TUI Cruises GmbH 6,5% 21/26",A3E5P2,"100,30",04.02.25 14:20,401.200,"0,33","6,50%",Euro,-
"Deutschland, Bundesrepublik 0,000% 21/26",114184,"96,71",04.02.25 16:00,314.244,"-0,01",-,Euro,-
"Deutschland, Bundesrepublik 2% 24/26",BU2207,"99,88",04.02.25 16:00,299.595,"-0,02","2,00%",Euro,-
"Deutschland, Bundesrepublik 2,2% 25/27",BU2208,"100,28",04.02.25 16:00,260.697,"-0,01","2,20%",Euro,-
"Grenke Finance PLC 5,125% 24/29",A3L3R2,"102,23",04.02.25 13:56,249.450,"0,01","5,13%",Euro,-
"Spanien, Königreich 4,9% 07/40",A0NXYY,"117,29",04.02.25 13:41,236.873,"-0,11","4,90%",Euro,"3,40%"
"Walmart Inc. 4,875% 09/29",A1AMPU,"110,29",04.02.25 12:33,220.570,"0,53","4,88%",Euro,"2,49%"
"Electricité de France S.A. (E.D.F.) 4,625% 10/30",A1AWP6,"107,17",04.02.25 16:00,214.800,"-0,15","4,63%",Euro,"2,99%"
International Business Machines Corp. 4% 12/42,A1G524,"81,63",04.02.25 16:29,206.148,"-0,20","4,00%",US-Dollar,-
"OMV AG 2,875%",A281UD,"95,63",04.02.25 11:09,191.250,"1,33","2,88%",Euro,-
"Rumänien, Republik 3,375% 18/38",A19V3U,"75,00",04.02.25 08:45,187.500,"0,91","3,38%",Euro,-
"Südzucker International Finance B.V. 4,125% 25/32",A3L7YF,"100,58",04.02.25 16:00,186.233,"-0,13","4,13%",Euro,-
"Deutsche Bahn Finance GmbH 1,6%",A255C3,"90,00",04.02.25 16:00,179.962,"0,86","1,60%",Euro,-
"Volkswagen Financial Services AG 3,875% 24/30",A383ET,"101,63",04.02.25 16:00,152.918,"0,02","3,88%",Euro,-
Mercedes-Benz Group AG 1% 17/27,A2GSLY,"95,90",04.02.25 11:57,150.563,"0,90","1,00%",Euro,"2,55%"
"Landesbank Hessen-Thüringen Girozentrale 3,1% 23/27",HLB48V,"100,35",04.02.25 16:00,150.525,"0,05","3,10%",Euro,"2,51%"
"The Goldman Sachs Group Inc. 1,625% 16/26",A1VQC5,"98,76",04.02.25 12:44,150.195,"-0,14","1,63%",Euro,"2,39%"
"Norwegen, Königreich 1,75% 17/27",A19DHT,"96,26",04.02.25 16:05,144.818,"0,14","1,75%",Norwegische Kronen,"3,65%"
Bayer AG 4% 23/26,A351UZ,"101,77",04.02.25 16:00,142.618,"-0,01","4,00%",Euro,-
"Großbritannien und Nord-Irland, Vereinigtes Königreich 0,5% 21/29",A3KVN1,"87,07",04.02.25 16:00,138.168,"-0,02","0,50%",Britische Pfund,-
"Großbritannien und Nord-Irland, Vereinigtes Königreich 0,125% 20/28",A28YV3,"89,58",04.02.25 16:00,137.843,"0,03","0,13%",Britische Pfund,-
"John Deere Capital Corp. 4,15% 22/27",A3K885,"99,20",04.02.25 16:28,134.268,"0,14","4,15%",US-Dollar,-
Continental AG 4% 23/27,A35138,"102,83",04.02.25 15:52,133.679,"0,32","4,00%",Euro,-
"The Goldman Sachs Group Inc. 3,375% 20/25",A28VAL,"100,05",04.02.25 16:08,128.068,"0,00","3,38%",Euro,-
"E.ON SE 2,875% 22/28",A30VMX,"101,17",04.02.25 14:22,126.463,"0,46","2,88%",Euro,-
"Porsche Automobil Holding SE 4,125% 24/32",A383H8,"101,75",04.02.25 12:16,126.308,"-0,41","4,13%",Euro,-
"United States of America 4,625% 23/26",A3LE7K,"100,36",04.02.25 15:40,126.297,"-0,02","4,63%",US-Dollar,-
