Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Deutschland, Bundesrepublik 2,5% 23/25",BU2200,"99,95",14.01.25 12:00,"9,49 Mio.","0,00","2,50%",Euro,-
"Deutschland, Bundesrepublik 2,8% 23/25",BU2201,"100,06",14.01.25 14:16,"5,25 Mio.","0,00","2,80%",Euro,-
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,15",14.01.25 16:06,"3,53 Mio.","0,02","1,00%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114181,"99,38",14.01.25 12:00,"1,79 Mio.","0,00",-,Euro,-
"Frankreich, Republik 3% 23/34",A3LZW4,"96,21",14.01.25 15:24,"1,21 Mio.","-0,07","3,00%",Euro,-
"Deutschland, Bundesrepublik 0,5% 15/25",110237,"99,84",14.01.25 12:46,"1,01 Mio.","0,01","0,50%",Euro,"2,43%"
TRATON Finance Luxembourg S.A. 4% 23/25,A3LHK7,"100,46",14.01.25 11:04,"1,00 Mio.","-0,04","4,00%",Euro,-
"Türkei, Republik 6,625% 14/45",A1ZDS6,"83,23",14.01.25 15:41,816.140,"0,64","6,63%",US-Dollar,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2203,"100,60",14.01.25 12:00,503.065,"0,00","3,10%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114182,"98,30",14.01.25 12:00,491.500,"0,01",-,Euro,-
"Deutschland, Bundesrepublik 2% 24/26",BU2207,"99,46",14.01.25 15:25,417.772,"-0,01","2,00%",Euro,-
"Deutschland, Bundesrepublik 1,3% 22/27",114186,"97,57",14.01.25 12:00,409.828,"-0,01","1,30%",Euro,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2202,"100,39",14.01.25 15:44,403.064,"0,01","3,10%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 0,4% 21/29",HLB23T,"88,25",14.01.25 12:00,352.118,"-0,06","0,40%",Euro,"3,08%"
"Nestlé Finance International Ltd. 2,875% 25/32",A3L71X,"98,51",14.01.25 16:13,344.785,"-0,03","2,88%",Euro,-
"Südzucker International Finance B.V. 5,783%",A0E6FU,"84,02",14.01.25 14:09,335.194,"-2,30","5,78%",Euro,-
"Deutschland, Bundesrepublik 0,000% 21/26",114183,"97,32",14.01.25 12:00,301.927,"0,01",-,Euro,-
"LVMH Moët Hennessy Louis Vuitton SE 3,375% 23/25",A3LGU3,"100,43",14.01.25 13:03,301.290,"0,02","3,38%",Euro,-
"Deutschland, Bundesrepublik 0,000% 16/26",110240,"96,59",14.01.25 13:48,267.856,"0,00",-,Euro,-
"Grenke Finance PLC 3,95% 20/25",A28VXK,"100,15",14.01.25 15:54,260.585,"0,25","3,95%",Euro,-
"Porsche Automobil Holding SE 4,125% 24/32",A383H8,"99,80",14.01.25 08:33,215.630,"0,01","4,13%",Euro,-
"BMW Finance N.V. 1,5% 19/29",A2RXDR,"94,15",14.01.25 15:24,211.838,"0,19","1,50%",Euro,"3,05%"
"Volkswagen Financial Services AG 3,375% 20/28",A2LQ6L,"99,49",14.01.25 15:23,206.968,"0,24","3,38%",Euro,-
"Unibail-Rodamco-Westfield SE 1,125% 18/25",A190KM,"99,00",14.01.25 13:39,198.000,"0,30","1,13%",Euro,"2,63%"
"Koninklijke Philips N.V. 0,5% 19/26",A2R2K7,"97,00",14.01.25 13:44,194.000,"0,18","0,50%",Euro,-
"Deutsche Telekom International Finance B.V. 1,5% 16/28",A18Y8M,"95,50",14.01.25 11:06,191.000,"0,03","1,50%",Euro,-
"Deutschland, Bundesrepublik 0,118% 21/33",103058,"96,36",14.01.25 14:31,178.403,"-0,14","0,12%",Euro,-
"Deutschland, Bundesrepublik 2,5% 25/35",BU2Z04,"98,85",14.01.25 15:10,178.143,"-0,13","2,50%",Euro,-
"Spanien, Königreich 1,6% 15/25",A1ZVCP,"99,74",14.01.25 10:08,149.610,"0,61","1,60%",Euro,-
"United States of America 4,25% 22/25",A3LAG0,"99,97",14.01.25 15:40,112.718,"0,01","4,25%",US-Dollar,-
"Deutschland, Bundesrepublik 0,000% 21/28",110255,"91,78",14.01.25 14:31,111.965,"0,01",-,Euro,-
EnBW International Finance B.V. 4% 24/36,A3L1LU,"100,10",14.01.25 16:00,111.857,"-0,22","4,00%",Euro,-
"United States of America 4,5% 22/25",A3LA47,"99,81",14.01.25 15:41,108.998,"-0,01","4,50%",US-Dollar,-
"Österreich, Republik 2% 22/26",A3K9UP,"99,41",14.01.25 14:40,108.429,"0,02","2,00%",Euro,-
"Frankreich, Republik 0,5% 20/72",A2876Z,"31,93",14.01.25 14:44,108.004,"0,47","0,50%",Euro,-
"Irland, Republik 1,1% 19/29",A2RWFC,"94,23",14.01.25 14:40,107.679,"-0,04","1,10%",Euro,"2,46%"
"United States of America 4,125% 23/26",A3LJ4M,"99,68",14.01.25 15:40,107.512,"0,02","4,13%",US-Dollar,-
"EnBW International Finance B.V. 3,5% 23/28",A3LDC2,"101,66",14.01.25 12:36,106.713,"0,29","3,50%",Euro,-
"United States of America 4,5% 06/36",A0GM7Y,"98,50",14.01.25 12:17,106.246,"-0,06","4,50%",US-Dollar,"4,73%"
"United States of America 4,75% 23/53",A3LQVL,"96,49",14.01.25 12:53,104.078,"0,30","4,75%",US-Dollar,-
"Deutschland, Bundesrepublik 2,1% 22/29",110262,"98,68",14.01.25 14:31,103.524,"0,02","2,10%",Euro,-
"Citigroup Inc. 3,3% 15/25",A1Z0U3,"99,66",14.01.25 15:39,102.992,"0,15","3,30%",US-Dollar,"4,25%"
"BNP Paribas S.A. 4,095% 24/34",BP453A,"102,20",14.01.25 09:12,102.200,"0,55","4,10%",Euro,-
"MTU Aero Engines AG 3,875% 24/31",A383RD,"101,35",14.01.25 13:02,102.000,"-0,05","3,88%",Euro,-
"Linde PLC 3,375% 23/29",A3LJS6,"101,67",14.01.25 16:12,101.670,"0,49","3,38%",Euro,-
Wells Fargo & Co. 3% 16/26,A18784,"96,94",14.01.25 14:53,100.779,"-0,04","3,00%",US-Dollar,-
"TRATON Finance Luxembourg S.A. 3,75% 25/31",A3L69Y,"99,28",14.01.25 13:02,99.760,"-0,09","3,75%",Euro,-
"Commerzbank AG 1,5% 18/28",CZ40M3,"94,76",14.01.25 14:47,99.586,"0,12","1,50%",Euro,"3,03%"
"General Motors Financial Co. Inc. 3,7% 25/31",A3L72B,"99,03",14.01.25 13:02,99.320,"0,01","3,70%",Euro,-
"Deutschland, Bundesrepublik 0,000% 24/25",BU0E18,"98,95",14.01.25 15:19,98.950,"0,07",-,Euro,-
"Shell International Finance B.V. 0,125% 19/27",A2R99G,"92,60",14.01.25 16:00,92.790,"-0,01","0,13%",Euro,-
"Petróleos Mexicanos 2,75% 15/27",A1Z0AJ,"91,61",14.01.25 12:49,91.605,"-0,04","2,75%",Euro,"6,81%"
"Schweizerische Eidgenossenschaft 1,5% 13/25",A1HNFY,"100,62",14.01.25 14:00,86.155,"-0,01","1,50%",Schweizer Franken,"0,18%"
The Goldman Sachs Group Inc. 3% 16/31,A18XVM,"99,05",14.01.25 15:39,83.167,"-0,06","3,00%",Euro,"3,17%"
"Manitoba, Provinz 4,4% 11/42",A1GR5U,"99,00",14.01.25 09:17,80.822,"1,09","4,40%",Canadische Dollar,-
"RCI Banque S.A. 3,875% 24/29",A3LSR3,"100,66",14.01.25 14:55,80.513,"0,19","3,88%",Euro,-
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 2,55% 22/25",DW6CYZ,"99,83",14.01.25 12:37,79.864,"0,01","2,55%",Euro,-
"Rumänien, Republik 5,125% 24/31",A3L3V9,"95,46",14.01.25 12:00,78.826,"-0,23","5,13%",Euro,-
"John Deere Capital Corp. 4,15% 22/27",A3K885,"98,75",14.01.25 12:41,78.434,"0,07","4,15%",US-Dollar,-
"Porsche Automobil Holding SE 4,5% 23/28",A351ML,"103,30",14.01.25 13:31,77.630,"0,63","4,50%",Euro,-
E.ON SE 4% 25/40,A383X3,"98,98",14.01.25 16:00,74.529,"-0,21","4,00%",Euro,-
"Niedersachsen, Land 0,4% 17/25",A2GSNJ,"99,20",14.01.25 11:59,74.400,"1,85","0,40%",Euro,-
"Grenke Finance PLC 6,75% 23/26",A3LJCD,"102,80",14.01.25 15:44,72.000,"0,33","6,75%",Euro,-
"Frankreich, Republik 3% 22/33",A3LGHB,"97,49",14.01.25 15:59,70.253,"-0,09","3,00%",Euro,-
United States of America 4% 24/34,A3LUB5,"94,25",14.01.25 15:48,69.315,"0,06","4,00%",US-Dollar,-
United States of America 5% 07/37,A0N1BM,"101,62",14.01.25 15:40,68.429,"0,16","5,00%",US-Dollar,"4,87%"
"Argentinien, Republik 0,5% 20/29",A282B6,"75,31",14.01.25 14:01,67.197,"1,10","0,50%",Euro,-
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 2,75% 24/25",DJ9AMJ,"99,95",14.01.25 12:31,64.968,"0,02","2,75%",Euro,-
