Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"International Finance Corp. 6,5% 22/27",A3K1AY,"94,17",27.01.25 15:55,"47,09 Mio.","0,13","6,50%",Kolumbianische Pesos,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2203,"100,60",27.01.25 16:00,"1,88 Mio.","0,00","3,10%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114181,"99,49",27.01.25 15:32,"1,55 Mio.","0,01",-,Euro,-
"Irland, Republik 0,35% 22/32",A3K1B0,"84,02",27.01.25 14:40,"1,52 Mio.","0,44","0,35%",Euro,-
"Irland, Republik 1,1% 19/29",A2RWFC,"94,46",27.01.25 14:40,"1,51 Mio.","0,22","1,10%",Euro,"2,41%"
"Österreich, Republik 2,4% 13/34",A1HJL6,"96,34",27.01.25 11:50,"1,16 Mio.","0,65","2,40%",Euro,"2,88%"
"SAP SE 1,75% 14/27",A13SL3,"98,73",27.01.25 11:53,815.510,"-0,69","1,75%",Euro,"1,96%"
"Berlin Hyp AG 0,25% 21/33",BHY0HW,"81,05",27.01.25 11:52,810.500,"0,81","0,25%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114182,"98,37",27.01.25 15:00,759.312,"0,01",-,Euro,-
"General Mills Inc. 3,907% 23/29",A3LF6A,"102,98",27.01.25 15:16,720.860,"0,37","3,91%",Euro,-
"Kraft Heinz Foods Co. 3,5% 24/29",A3LVHL,"101,59",27.01.25 16:04,711.130,"0,26","3,50%",Euro,-
"DZ HYP AG 3,125% 24/34",A351XV,"103,00",27.01.25 12:29,618.000,"1,63","3,13%",Euro,-
"ABN AMRO Bank N.V. 6,375%",A3L3AM,"102,90",27.01.25 08:42,617.400,"0,00","6,38%",Euro,-
"Belgien, Königreich 0,1% 20/30",A28SFQ,"87,26",27.01.25 13:47,610.820,"0,29","0,10%",Euro,"2,65%"
"DZ HYP AG 0,01% 21/29",A3H2TQ,"89,27",27.01.25 11:48,603.465,"0,04","0,01%",Euro,-
"Belgien, Königreich 4% 12/32",A1G2KY,"107,13",27.01.25 16:00,590.700,"0,10","4,00%",Euro,"2,84%"
"Deutschland, Bundesrepublik 2,7% 24/26",BU2206,"100,67",27.01.25 16:00,510.895,"0,04","2,70%",Euro,-
"Frankreich, Republik 0,25% 15/26",A1VQ1A,"96,17",27.01.25 14:40,471.836,"0,07","0,25%",Euro,"2,38%"
"Caisse Nationale de Reassurance Mutuelle Agricole Groupama S.A. 6,5%",A3L1H9,"103,20",27.01.25 09:43,412.800,"0,00","6,50%",Euro,-
"Athora Netherlands N.V. 6,75%",A3L6AQ,"102,76",27.01.25 13:00,412.800,"-0,43","6,75%",Euro,-
"Deutschland, Bundesrepublik 0,000% 24/25",BU0E16,"99,45",27.01.25 10:45,397.800,"0,05",-,Euro,-
"Honeywell International Inc. 5,7% 07/37",A0LPXL,"104,13",27.01.25 14:32,298.109,"1,10","5,70%",US-Dollar,-
"Porsche Automobil Holding SE 4,125% 24/32",A383H8,"101,00",27.01.25 13:32,248.404,"0,22","4,13%",Euro,-
"Ungarn, Republik 1,75% 17/27",A19QHN,"96,80",27.01.25 14:44,242.000,"1,13","1,75%",Euro,"2,94%"
"BMW Finance N.V. 3,875% 23/28",A3LPBL,"103,07",27.01.25 16:00,227.422,"0,07","3,88%",Euro,-
"Rumänien, Republik 6,375% 23/33",A3LNGG,"101,21",27.01.25 15:02,222.778,"0,22","6,38%",Euro,-
"Volkswagen International Finance N.V. 4,125% 22/25",A3LA6A,"100,96",27.01.25 16:00,201.960,"0,31","4,13%",Euro,-
"United States of America 0,375% 21/26",A288GQ,"96,56",27.01.25 14:26,193.636,"0,72","0,38%",US-Dollar,-
"Turkiye Sinai Kalkinma Bankasi A.S. 7,125% 24/29",A3L4S4,"100,45",27.01.25 11:02,191.845,"1,53","7,13%",US-Dollar,-
"Bayerische Landesbank 0,75% 18/28",BLB6JC,"94,67",27.01.25 14:47,190.240,"0,20","0,75%",Euro,"2,48%"
United States of America 2% 15/25,A1Z48V,"98,78",27.01.25 15:40,190.124,"0,07","2,00%",US-Dollar,"4,25%"
"United States of America 0,25% 20/25",A284M9,"97,06",27.01.25 15:40,190.081,"0,04","0,25%",US-Dollar,-
"Niedersachsen, Land 0,75% 18/28",A2G8V1,"94,62",27.01.25 16:00,189.950,"0,06","0,75%",Euro,"2,45%"
