Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"RWE AG 3,625% 23/29",A30V83,"102,63",04.02.25 13:05,22.667,"-0,03","3,63%",Euro,-
"Volkswagen Leasing GmbH 4,75% 23/31",A3514V,"107,10",04.02.25 12:41,21.420,"0,08","4,75%",Euro,-
"European Investment Bank (EIB) 4,75% 23/33",A3LDAB,"99,36",04.02.25 13:55,11.984,"-0,64","4,75%",Australische Dollar,-
"Kreditanstalt für Wiederaufbau 1,375% 22/32",A3E5J6,"92,17",04.02.25 13:47,9.248,"-0,13","1,38%",Euro,-
"European Investment Bank (EIB) 1,625% 21/31",A3KQX0,"84,42",04.02.25 09:05,8.217,"-0,24","1,63%",US-Dollar,-
"Volkswagen Leasing GmbH 4,625% 23/29",A3514U,"104,90",04.02.25 11:48,2.098,"-0,11","4,63%",Euro,-
"Mercedes-Benz International Finance B.V. 3,7% 23/31",A3LH6U,"103,73",04.02.25 13:28,2.075,"-0,39","3,70%",Euro,-
Kreditanstalt für Wiederaufbau 2% 22/29,A4SAV9,"99,35",04.02.25 11:51,994,"1,55","2,00%",Euro,-
"International Bank for Reconstruction and Development 2,9% 18/25",A2RURL,"97,98",04.02.25 09:04,0,"0,00","2,90%",Australische Dollar,-
"VGP N.V. 1,625% 22/27",A3K01K,"96,75",04.02.25 09:04,0,"0,00","1,63%",Euro,-
"International Finance Corp. 4,5% 23/26",A3LMAB,"102,51",04.02.25 14:00,0,"-0,14","4,50%",Canadische Dollar,-
"Quebec, Provinz 2,6% 18/25",A1927F,"99,83",04.02.25 13:55,0,"0,57","2,60%",Canadische Dollar,"2,67%"
"BASF SE 0,25% 20/27",A289DC,"94,72",04.02.25 14:00,0,"-0,01","0,25%",Euro,-
"Deutsche Wohnen SE 0,5% 21/31",A3H25P,"84,69",04.02.25 13:55,0,"-0,06","0,50%",Euro,-
