Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Deutschland, Bundesrepublik 2,5% 24/26",BU2204,"100,42",03.02.25 14:00,"30,13 Mio.","0,08","2,50%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114181,"99,57",03.02.25 14:00,"24,90 Mio.","0,02",-,Euro,-
"Deutschland, Bundesrepublik 0,5% 16/26",110239,"98,42",03.02.25 14:00,"9,84 Mio.","0,07","0,50%",Euro,"2,06%"
"Deutschland, Bundesrepublik 0,000% 25/25",BU0E25,"98,24",03.02.25 12:20,"2,95 Mio.","0,05",-,Euro,-
"Deutschland, Bundesrepublik 1,25% 17/48",110243,"76,27",03.02.25 14:11,"1,22 Mio.","1,60","1,25%",Euro,"2,63%"
"Deutschland, Bundesrepublik 2,8% 23/25",BU2201,"100,12",03.02.25 14:00,500.689,"0,00","2,80%",Euro,-
"Deutschland, Bundesrepublik 0,000% 21/26",114183,"97,65",03.02.25 14:00,490.717,"0,09",-,Euro,-
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 2,55% 23/26",DW6C1Q,"100,05",03.02.25 12:18,400.200,"0,06","2,55%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 0,5% 19/31",HLB37Q,"83,60",03.02.25 14:00,334.200,"0,54","0,50%",Euro,-
"Volkswagen Leasing GmbH 1,625% 18/25",A2GSFT,"99,33",03.02.25 12:04,333.220,"0,04","1,63%",Euro,"2,60%"
"Italien, Republik 3,25% 22/38",A3K54Q,"94,38",03.02.25 12:20,332.780,"0,00","3,25%",Euro,-
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,33",03.02.25 14:00,316.149,"0,03","1,00%",Euro,"2,25%"
"Deutschland, Bundesrepublik 0,000% 22/27",114185,"95,77",03.02.25 14:00,272.899,"0,19",-,Euro,-
"Porsche Automobil Holding SE 4,125% 24/32",A383H8,"101,88",03.02.25 09:00,265.088,"-0,11","4,13%",Euro,-
"Deutschland, Bundesrepublik 3,25% 10/42",113543,"108,72",03.02.25 13:50,216.760,"1,17","3,25%",Euro,"2,64%"
"Deutschland, Bundesrepublik 2,4% 23/30",BU2700,"101,24",03.02.25 13:50,187.094,"0,45","2,40%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 2,641% 23/28",HLB478,"98,85",03.02.25 14:00,167.875,"0,15","2,64%",Euro,-
"Mutares SE & Co. KGaA 11,183% 23/27",A30V9T,"97,50",03.02.25 11:56,167.200,"-1,71","11,18%",Euro,-
"Türkei, Republik 6,625% 14/45",A1ZDS6,"85,35",03.02.25 12:58,166.516,"-1,39","6,63%",US-Dollar,"8,19%"
"Volkswagen Financial Services AG 3,375% 20/28",A2LQ6L,"100,72",03.02.25 13:47,151.308,"0,04","3,38%",Euro,-
"Israel, Staat 4,5% 20/20",A28VRJ,"72,15",03.02.25 08:16,138.843,"1,12","4,50%",US-Dollar,-
"Südzucker International Finance B.V. 4,125% 25/32",A3L7YF,"100,55",03.02.25 14:00,132.763,"0,21","4,13%",Euro,-
Wells Fargo & Co. 3% 16/26,A18784,"97,28",03.02.25 12:08,127.204,"-0,10","3,00%",US-Dollar,"4,69%"
"Landesbank Hessen-Thüringen Girozentrale 0,75% 21/36",HLB20F,"74,05",03.02.25 14:00,111.000,"0,89","0,75%",Euro,"3,52%"
"The Platform Group AG 8,875% 24/28",A383EW,"100,80",03.02.25 14:06,106.230,"-1,18","8,88%",Euro,-
"BayWa AG 7,75%",A351PD,"53,85",03.02.25 13:34,103.850,"13,37","7,75%",Euro,-
