Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Mercedes-Benz International Finance B.V. 3,5% 23/26",A3LH6T,"101,00",08.01.25 12:06,146.680,"0,28","3,50%",Euro,-
"Volkswagen Leasing GmbH 4,5% 23/26",A3514T,"101,60",08.01.25 12:31,101.600,"0,13","4,50%",Euro,-
"Volkswagen Leasing GmbH 4,75% 23/31",A3514V,"105,13",08.01.25 08:01,94.617,"-0,05","4,75%",Euro,-
"RWE AG 4,125% 23/35",A30V84,"102,49",08.01.25 15:04,72.148,"-0,40","4,13%",Euro,-
"E.ON SE 1,625% 22/31",A3MQY9,"90,84",08.01.25 15:04,48.336,"-0,54","1,63%",Euro,-
"RWE AG 2,75% 22/30",A30VJF,"98,44",08.01.25 11:13,39.376,"0,84","2,75%",Euro,-
"Ungarn, Republik 1,75% 20/35",A28X86,"77,66",08.01.25 15:04,37.443,"-0,79","1,75%",Euro,-
"European Investment Bank (EIB) 3,75% 23/33",A3LD6X,"93,66",08.01.25 14:40,33.372,"0,75","3,75%",US-Dollar,-
"European Investment Bank (EIB) 2,75% 23/28",A3LD6J,"101,11",08.01.25 15:04,27.356,"0,01","2,75%",Euro,-
RWE AG 1% 21/33,A3MP71,"79,95",08.01.25 15:04,9.660,"-1,25","1,00%",Euro,-
"European Investment Bank (EIB) 0,05% 22/29",A3K1QT,"89,00",08.01.25 11:38,6.230,"0,00","0,05%",Euro,-
"European Investment Bank (EIB) 4,75% 23/33",A3LDAB,"98,78",08.01.25 15:00,4.810,"0,00","4,75%",Australische Dollar,-
"International Bank for Reconstruction and Development 2,9% 18/25",A2RURL,"97,78",08.01.25 09:22,0,"0,02","2,90%",Australische Dollar,-
"VGP N.V. 1,625% 22/27",A3K01K,"96,56",08.01.25 09:22,0,"0,03","1,63%",Euro,-
"International Finance Corp. 4,5% 23/26",A3LMAB,"102,26",08.01.25 15:04,0,"-0,09","4,50%",Canadische Dollar,-
