Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Mercedes-Benz International Finance B.V. 3,5% 23/26",A3LH6T,"100,71",06.01.25 10:36,56.399,"0,11","3,50%",Euro,-
E.ON SE 1% 20/25,A289E0,"98,81",06.01.25 12:03,49.450,"0,01","1,00%",Euro,-
"Kreditanstalt für Wiederaufbau 0,01% 19/27",A2TED0,"94,87",06.01.25 11:23,37.946,"-0,14","0,01%",Euro,"2,31%"
RWE AG 1% 21/33,A3MP71,"80,50",06.01.25 12:03,36.426,"-0,06","1,00%",Euro,-
"Kreditanstalt für Wiederaufbau 0,000% 21/29",A289JL,"89,99",06.01.25 08:18,16.198,"-0,01",-,Euro,-
"RWE AG 4,125% 23/35",A30V84,"102,91",06.01.25 12:03,12.424,"-1,01","4,13%",Euro,-
"E.ON SE 0,6% 21/32",A3H3J4,"83,08",06.01.25 08:00,9.970,"0,35","0,60%",Euro,-
"Volkswagen Leasing GmbH 4,5% 23/26",A3514T,"101,49",06.01.25 08:21,5.074,"-0,07","4,50%",Euro,-
"European Investment Bank (EIB) 2,75% 23/28",A3LD6J,"101,14",06.01.25 12:03,5.059,"-0,14","2,75%",Euro,-
"Ungarn, Republik 1,75% 20/35",A28X86,"79,17",06.01.25 12:03,3.180,"0,00","1,75%",Euro,-
"Berlin Hyp AG 0,01% 21/28",BHY0GE,"92,13",06.01.25 09:28,921,"0,02","0,01%",Euro,-
"International Bank for Reconstruction and Development 2,9% 18/25",A2RURL,"97,75",06.01.25 09:53,0,"0,22","2,90%",Australische Dollar,-
"European Investment Bank (EIB) 4,75% 23/33",A3LDAB,"99,47",06.01.25 11:50,0,"-0,37","4,75%",Australische Dollar,-
"VGP N.V. 1,625% 22/27",A3K01K,"96,53",06.01.25 09:53,0,"0,35","1,63%",Euro,-
"International Finance Corp. 4,5% 23/26",A3LMAB,"102,34",06.01.25 12:03,0,"0,02","4,50%",Canadische Dollar,-
"Quebec, Provinz 2,6% 18/25",A1927F,"99,73",06.01.25 11:50,0,"0,00","2,60%",Canadische Dollar,"3,16%"
"BASF SE 0,25% 20/27",A289DC,"94,29",06.01.25 12:03,0,"-0,07","0,25%",Euro,-
"Deutsche Wohnen SE 0,5% 21/31",A3H25P,"84,43",06.01.25 11:45,0,"0,03","0,50%",Euro,-
"Deutsche Wohnen SE 1,3% 21/41",A3H25Q,"68,44",06.01.25 11:45,0,"-0,61","1,30%",Euro,-
"Vonovia SE 2,375% 22/32",A3MQS7,"91,36",06.01.25 08:21,0,"-0,45","2,38%",Euro,-
"Commerzbank AG 0,75% 20/26",CB0HRQ,"99,46",06.01.25 10:47,0,"0,51","0,75%",Euro,-
Commerzbank AG 3% 22/27,CZ45W5,"99,99",06.01.25 08:54,0,"0,48","3,00%",Euro,-
"Landesbank Baden-Württemberg 0,25% 21/28",LB2V7C,"90,82",06.01.25 10:14,0,"-0,56","0,25%",Euro,-
"NRW.BANK 0,875% 15/25",NWB0AC,"98,57",06.01.25 09:53,0,"0,21","0,88%",Euro,"2,83%"
"NRW.BANK 0,375% 16/26",NWB0AD,"96,13",06.01.25 12:03,0,"-0,08","0,38%",Euro,"1,96%"
"NRW.BANK 0,5% 17/27",NWB0AE,"94,73",06.01.25 09:53,0,"0,04","0,50%",Euro,"1,22%"
"NRW.BANK 0,75% 18/28",NWB0AF,"93,89",06.01.25 12:03,0,"-0,14","0,75%",Euro,"2,57%"
"NRW.BANK 0,625% 19/29",NWB0AG,"92,27",06.01.25 09:15,0,"-0,14","0,63%",Euro,"2,52%"
"NRW.BANK 0,000% 19/29",NWB0AH,"88,21",06.01.25 09:53,0,"-0,11",-,Euro,"2,54%"
"NRW.BANK 0,000% 20/30",NWB0AJ,"87,32",06.01.25 08:54,0,"-0,10",-,Euro,-
"NRW.BANK 0,000% 21/31",NWB0AL,"84,70",06.01.25 09:53,0,"0,01",-,Euro,-
"NRW.BANK 0,000% 21/31",NWB0AN,"83,28",06.01.25 09:53,0,"-0,03",-,Euro,-
"NRW.BANK 0,25% 22/32",NWB0AQ,"83,05",06.01.25 08:01,0,"-0,29","0,25%",Euro,-
"NRW.BANK 1,625% 22/32",NWB0AR,"91,60",06.01.25 09:53,0,"-0,11","1,63%",Euro,-
NRW.BANK 3% 23/30,NWB0AU,"101,54",06.01.25 12:03,0,"-0,29","3,00%",Euro,-
"Air Liquide Finance S.A. 0,375% 21/31",A3KRNQ,"84,39",06.01.25 09:53,0,"-0,14","0,38%",Euro,-
"Scatec ASA 11,29% 23/27",A3LEFQ,"107,00",25.04.24 16:20,0,"0,00","11,29%",Norwegische Kronen,-
"Asian Development Bank (ADB) 1,75% 16/26",A18429,"95,76",06.01.25 09:53,0,"0,22","1,75%",US-Dollar,"4,40%"
