Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Deutschland, Bundesrepublik 2,9% 24/26",BU2205,"101,11",02.01.25 16:00,"13,14 Mio.","0,03","2,90%",Euro,-
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,23",02.01.25 16:00,"1,91 Mio.","0,01","1,00%",Euro,"2,26%"
"Deutschland, Bundesrepublik 2,5% 23/25",BU2200,"99,98",02.01.25 16:00,"1,31 Mio.","-0,01","2,50%",Euro,-
"Türkei, Republik 6,75% 10/40",A1AR3B,"90,42",02.01.25 13:00,883.248,"0,19","6,75%",US-Dollar,"7,89%"
"Deutschland, Bundesrepublik 3,1% 23/25",BU2202,"100,53",02.01.25 15:26,662.225,"-0,01","3,10%",Euro,-
"Deutschland, Bundesrepublik 0,000% 21/26",114183,"97,52",02.01.25 16:00,651.907,"0,05",-,Euro,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2203,"100,80",02.01.25 16:00,555.533,"-0,01","3,10%",Euro,-
"Deutschland, Bundesrepublik 2,8% 23/25",BU2201,"100,13",02.01.25 16:00,502.628,"-0,01","2,80%",Euro,-
"Deutschland, Bundesrepublik 2% 24/26",BU2207,"99,87",02.01.25 16:00,449.952,"0,04","2,00%",Euro,-
Intesa Sanpaolo S.p.A. 7%,A3LYYF,"107,50",02.01.25 13:33,430.000,"0,89","7,00%",Euro,-
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 3% 23/27",DW6C4L,"99,92",02.01.25 12:26,299.760,"0,00","3,00%",Euro,-
"Deutschland, Bundesrepublik 0,5% 15/25",110237,"99,81",02.01.25 16:00,259.500,"0,02","0,50%",Euro,"2,25%"
"Österreich, Republik 2,1% 17/17",A19PCG,"76,44",02.01.25 15:35,253.979,"0,66","2,10%",Euro,"2,82%"
Landesbank Hessen-Thüringen Girozentrale 1% 20/35,HLB2YW,"71,65",02.01.25 16:00,219.300,"0,42","1,00%",Euro,-
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 2,65% 24/25",DJ9AJ0,"99,95",02.01.25 12:31,209.895,"0,00","2,65%",Euro,-
"EnBW International Finance B.V. 3,5% 23/28",A3LDC2,"102,35",02.01.25 12:28,204.690,"0,16","3,50%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 3,15% 23/26",HLB7BE,"100,60",02.01.25 15:00,201.200,"0,00","3,15%",Euro,"1,80%"
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 2,5% 23/25",DW6C1A,"99,95",02.01.25 12:30,199.900,"0,01","2,50%",Euro,-
"Deutschland, Bundesrepublik 0,000% 16/26",110240,"96,87",02.01.25 16:00,158.040,"0,06",-,Euro,"1,98%"
"BayWa AG 7,75%",A351PD,"50,01",02.01.25 15:14,150.030,"1,03","7,75%",Euro,-
"Türkei, Republik 5,75% 17/47",A19HB3,"75,28",02.01.25 15:34,145.877,"1,37","5,75%",US-Dollar,-
"Deutschland, Bundesrepublik 0,000% 21/26",114184,"96,60",02.01.25 15:09,140.056,"0,09",-,Euro,-
"Frankreich, Republik 0,5% 20/72",A2876Z,"34,22",02.01.25 15:03,121.414,"0,26","0,50%",Euro,-
"Petróleos Mexicanos 5,5% 05/25",A0DY6J,"99,99",02.01.25 14:28,119.988,"0,30","5,50%",Euro,"4,04%"
"Deutsche Lufthansa AG 4,125% 24/32",A383QY,"102,95",02.01.25 16:00,118.672,"0,35","4,13%",Euro,-
Groß & Partner Grundstücksentwicklungsgesellschaft mbH 10% 24/28,A383BH,"97,00",02.01.25 11:48,116.400,"1,04","10,00%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114181,"99,35",02.01.25 15:24,111.630,"0,01",-,Euro,-
"United States of America 0,875% 21/26",A3KWYB,"94,41",02.01.25 16:00,102.480,"0,15","0,88%",US-Dollar,-
"Deutsche Bank AG 5,625% 20/31",DL19VB,"102,30",02.01.25 15:02,102.300,"0,37","5,63%",Euro,-
"Volkswagen Leasing GmbH 4,5% 23/26",A3514T,"101,75",02.01.25 13:49,101.746,"0,01","4,50%",Euro,-
Landesbank Hessen-Thüringen Girozentrale 1% 21/26,HLB22Z,"95,15",02.01.25 16:00,101.516,"0,05","1,00%",US-Dollar,"3,94%"
Commerzbank AG 4% 20/30,CZ45V2,"100,42",02.01.25 14:59,100.420,"0,17","4,00%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 2,8% 23/25",HLB508,"99,95",02.01.25 16:00,100.000,"-0,05","2,80%",Euro,"1,65%"
