Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Deutschland, Bundesrepublik 2,5% 23/25",BU2200,"99,98",27.12.24 16:06,996.799,"0,00","2,50%",Euro,-
"Türkei, Republik 6,75% 10/40",A1AR3B,"90,45",27.12.24 17:00,874.269,"0,02","6,75%",US-Dollar,"7,98%"
"United States of America 1,125% 21/28",A3KVAX,"89,00",27.12.24 17:20,853.474,"0,08","1,13%",US-Dollar,-
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,21",27.12.24 13:47,620.060,"0,01","1,00%",Euro,"2,29%"
"Deutschland, Bundesrepublik 3,1% 23/25",BU2202,"100,55",27.12.24 16:29,550.024,"0,01","3,10%",Euro,-
Volkswagen Leasing GmbH 4% 24/31,A2YN0G,"101,98",27.12.24 14:32,387.524,"0,17","4,00%",Euro,-
"Frankreich, Republik 0,000% 21/27",A3KP7L,"95,14",27.12.24 17:20,347.641,"-0,06",-,Euro,-
"Deutschland, Bundesrepublik 2,9% 24/26",BU2205,"101,07",27.12.24 11:08,327.025,"-0,06","2,90%",Euro,-
"Irland, Republik 1,1% 19/29",A2RWFC,"95,11",27.12.24 17:20,320.751,"-0,11","1,10%",Euro,"2,29%"
"Irland, Republik 0,2% 20/30",A28YQ5,"88,40",27.12.24 16:38,318.222,"-0,07","0,20%",Euro,-
"Griechenland, Republik 4,2% 17/42",A19S2S,"105,92",27.12.24 17:20,307.485,"-0,65","4,20%",Euro,"3,72%"
"Irland, Republik 0,9% 18/28",A19UMH,"95,97",27.12.24 15:56,302.578,"-0,17","0,90%",Euro,"2,15%"
"Deutschland, Bundesrepublik 2,2% 24/34",BU2Z02,"98,71",27.12.24 17:25,257.360,"-0,46","2,20%",Euro,-
"Deutschland, Bundesrepublik 0,000% 20/25",114181,"99,32",27.12.24 14:13,252.158,"0,02",-,Euro,-
"Deutschland, Bundesrepublik 2,5% 24/54",BU2D00,"97,59",27.12.24 17:25,245.081,"-1,31","2,50%",Euro,-
"Kreditanstalt für Wiederaufbau 3,75% 23/28",A30VR9,"98,08",27.12.24 17:20,234.799,"0,07","3,75%",US-Dollar,-
"Deutschland, Bundesrepublik 2,8% 23/25",BU2201,"100,14",27.12.24 11:04,209.312,"0,00","2,80%",Euro,-
"United States of America 4,5% 23/33",A3LQVK,"99,46",27.12.24 17:20,198.071,"-0,17","4,50%",US-Dollar,-
"Deutschland, Bundesrepublik 2,4% 23/30",BU2700,"101,05",27.12.24 17:25,190.077,"-0,26","2,40%",Euro,-
Otto GmbH & Co. KG 4%,A2LQ0B,"99,80",27.12.24 17:15,171.606,"0,34","4,00%",Euro,-
"Deutsche Lufthansa AG 4,382% 15/75",A161YP,"99,85",27.12.24 17:00,149.670,"0,12","4,38%",Euro,-
EnBW International Finance B.V. 3% 24/29,A3L594,"100,00",27.12.24 12:53,135.000,"-0,12","3,00%",Euro,-
"Mutares SE & Co. KGaA 11,845% 23/27",A30V9T,"99,75",27.12.24 17:07,133.000,"-0,65","11,85%",Euro,-
"Mercedes-Benz International Finance B.V. 0,375% 19/26",A2YNZW,"95,70",27.12.24 11:40,132.210,"-0,04","0,38%",Euro,"2,79%"
"Kreditanstalt für Wiederaufbau 1,25% 16/36",A168Y4,"84,06",27.12.24 17:25,127.500,"-1,11","1,25%",Euro,"2,90%"
