Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Kreditanstalt für Wiederaufbau 0,01% 19/27",A2TED0,"94,80",30.01.25 09:22,24.648,"-0,08","0,01%",Euro,"2,46%"
"E.ON SE 1,625% 22/31",A3MQY9,"91,67",30.01.25 10:32,22.918,"0,30","1,63%",Euro,-
"RWE AG 4,125% 23/35",A30V84,"103,08",30.01.25 10:00,4.119,"0,26","4,13%",Euro,-
"International Bank for Reconstruction and Development 4,25% 21/26",A287WL,"93,98",30.01.25 08:03,2.207,"0,06","4,25%",Mexikanische Pesos,"8,90%"
"European Investment Bank (EIB) 3,75% 23/33",A3LD6X,"94,83",30.01.25 10:30,1.822,"0,14","3,75%",US-Dollar,-
"International Bank for Reconstruction and Development 2,9% 18/25",A2RURL,"97,95",30.01.25 09:22,0,"0,02","2,90%",Australische Dollar,-
"European Investment Bank (EIB) 4,75% 23/33",A3LDAB,"99,89",30.01.25 10:05,0,"0,24","4,75%",Australische Dollar,-
"VGP N.V. 1,625% 22/27",A3K01K,"96,42",29.01.25 09:46,0,"0,00","1,63%",Euro,-
"International Finance Corp. 4,5% 23/26",A3LMAB,"102,43",30.01.25 10:00,0,"0,01","4,50%",Canadische Dollar,-
"Quebec, Provinz 2,6% 18/25",A1927F,"99,79",30.01.25 10:05,0,"0,50","2,60%",Canadische Dollar,"4,31%"
"BASF SE 0,25% 20/27",A289DC,"94,32",30.01.25 10:00,0,"0,08","0,25%",Euro,-
"Deutsche Wohnen SE 0,5% 21/31",A3H25P,"83,94",30.01.25 08:45,0,"0,42","0,50%",Euro,-
"Deutsche Wohnen SE 1,3% 21/41",A3H25Q,"68,16",30.01.25 08:45,0,"0,93","1,30%",Euro,-
"Vonovia SE 2,375% 22/32",A3MQS7,"91,29",30.01.25 08:22,0,"-0,01","2,38%",Euro,-
"Commerzbank AG 0,75% 20/26",CB0HRQ,"99,68",30.01.25 10:47,0,"0,52","0,75%",Euro,-
Commerzbank AG 3% 22/27,CZ45W5,"100,18",30.01.25 10:47,0,"0,53","3,00%",Euro,-
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 0,4% 21/28",DFK0RN,"89,66",29.01.25 12:15,0,"0,09","0,40%",Euro,-
"Landesbank Baden-Württemberg 0,25% 21/28",LB2V7C,"90,29",30.01.25 09:22,0,"0,03","0,25%",Euro,-
"NRW.BANK 0,875% 15/25",NWB0AC,"98,67",30.01.25 09:22,0,"0,02","0,88%",Euro,"2,66%"
"NRW.BANK 0,375% 16/26",NWB0AD,"96,20",30.01.25 10:00,0,"0,05","0,38%",Euro,"2,60%"
"NRW.BANK 0,5% 17/27",NWB0AE,"94,65",30.01.25 09:22,0,"0,00","0,50%",Euro,"2,19%"
"NRW.BANK 0,75% 18/28",NWB0AF,"93,79",30.01.25 10:00,0,"0,09","0,75%",Euro,"2,71%"
"NRW.BANK 0,625% 19/29",NWB0AG,"92,06",29.01.25 17:05,0,"0,00","0,63%",Euro,"2,59%"
"NRW.BANK 0,000% 19/29",NWB0AH,"88,05",30.01.25 09:22,0,"-0,02",-,Euro,"2,63%"
"NRW.BANK 0,000% 20/30",NWB0AJ,"87,28",30.01.25 10:47,0,"0,20",-,Euro,-
"NRW.BANK 0,000% 21/31",NWB0AL,"84,50",30.01.25 09:22,0,"-0,02",-,Euro,-
"NRW.BANK 0,000% 21/31",NWB0AN,"83,05",30.01.25 09:22,0,"-0,05",-,Euro,-
"NRW.BANK 0,25% 22/32",NWB0AQ,"82,50",30.01.25 08:00,0,"-0,11","0,25%",Euro,-
"NRW.BANK 1,625% 22/32",NWB0AR,"91,20",30.01.25 09:22,0,"-0,07","1,63%",Euro,-
NRW.BANK 3% 23/30,NWB0AU,"101,29",30.01.25 10:00,0,"0,09","3,00%",Euro,-
"Air Liquide Finance S.A. 0,375% 21/31",A3KRNQ,"84,74",30.01.25 09:22,0,"0,04","0,38%",Euro,-
"Scatec ASA 11,29% 23/27",A3LEFQ,"107,00",25.04.24 16:20,0,"0,00","11,29%",Norwegische Kronen,-
"Asian Development Bank (ADB) 1,75% 16/26",A18429,"95,99",30.01.25 09:22,0,"-0,05","1,75%",US-Dollar,"4,33%"
