Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,27",30.01.25 15:21,"15,48 Mio.","0,05","1,00%",Euro,"2,35%"
"Deutschland, Bundesrepublik 2,5% 23/25",BU2200,"99,98",30.01.25 15:00,716.866,"0,01","2,50%",Euro,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2203,"100,64",30.01.25 15:00,553.435,"0,04","3,10%",Euro,-
"Porsche Automobil Holding SE 4,125% 23/27",A351SW,"103,01",30.01.25 12:58,530.624,"0,38","4,13%",Euro,-
"Deutschland, Bundesrepublik 2% 24/26",BU2207,"99,64",30.01.25 15:00,448.155,"0,13","2,00%",Euro,-
Landesbank Hessen-Thüringen Girozentrale 3% 24/25,HLB59M,"99,80",30.01.25 15:00,347.826,"0,00","3,00%",Euro,"3,68%"
"Deutschland, Bundesrepublik 0,000% 16/26",110240,"96,79",30.01.25 15:00,299.968,"0,10",-,Euro,"2,17%"
"SNCF S.A. 3,125% 24/34",A3LV5U,"97,64",30.01.25 10:35,292.900,"0,94","3,13%",Euro,-
"The Goldman Sachs Group Inc. 3,375% 20/25",A28VAL,"100,05",30.01.25 15:28,270.139,"0,04","3,38%",Euro,-
"Deutschland, Bundesrepublik 2,4% 23/28",BU2501,"100,57",30.01.25 14:31,251.325,"0,20","2,40%",Euro,-
"Deutsche Telekom International Finance B.V. 1,5% 16/28",A18Y8M,"96,90",30.01.25 11:18,242.250,"1,20","1,50%",Euro,"2,52%"
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 2,65% 24/26",DJ9AK1,"99,95",30.01.25 12:21,199.900,"0,05","2,65%",Euro,-
"Kreditanstalt für Wiederaufbau 2,75% 25/35",A383TE,"99,45",30.01.25 14:35,199.000,"0,50","2,75%",Euro,-
"Raiffeisen Bank International AG 4,5%",A19U8H,"97,45",30.01.25 14:47,195.000,"0,98","4,50%",Euro,-
"Deutsche Bank AG 4,625%",DL19VZ,"95,45",30.01.25 15:00,190.840,"0,18","4,63%",Euro,-
"Deutsche Pfandbriefbank AG 4,679% 17/27",A2E4Y4,"95,00",30.01.25 10:46,190.150,"1,13","4,68%",Euro,-
"Türkei, Republik 6,5% 21/33",A3KWBJ,"95,44",30.01.25 14:40,184.994,"0,25","6,50%",US-Dollar,-
"Deutschland, Bundesrepublik 0,000% 20/25",114182,"98,42",30.01.25 15:00,181.589,"0,04",-,Euro,-
"Türkei, Republik 6,625% 14/45",A1ZDS6,"86,95",30.01.25 13:58,167.276,"1,34","6,63%",US-Dollar,"8,10%"
"Südzucker International Finance B.V. 4,125% 25/32",A3L7YF,"99,90",30.01.25 15:36,164.714,"0,47","4,13%",Euro,-
"BMW Finance N.V. 4,125% 23/33",A3LPBM,"105,42",30.01.25 10:54,157.870,"0,50","4,13%",Euro,-
"Deutschland, Bundesrepublik 2,6% 23/33",BU2Z01,"101,28",30.01.25 14:31,146.740,"0,44","2,60%",Euro,-
"Fraport AG Frankfurt Airport Services Worldwide 4,25% 24/32",A383CB,"103,77",30.01.25 14:57,141.051,"0,85","4,25%",Euro,-
"E.ON SE 3,5% 25/33",A383X4,"100,99",30.01.25 15:09,139.020,"0,68","3,50%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 2,75% 24/25",HEL0AS,"99,75",30.01.25 15:00,129.675,"-0,05","2,75%",Euro,"0,36%"
Deutsche Telekom AG 3% 25/32,A4DFD0,"99,48",30.01.25 12:58,124.723,"0,28","3,00%",Euro,-
BERTELSMANN  GEN.2001,522994,"270,00",30.01.25 15:15,121.312,"-0,37","15,00%",Euro,"-1,33%"
"Citigroup Inc. 3,4% 16/26",A180XA,"98,71",30.01.25 13:56,118.692,"0,02","3,40%",US-Dollar,"4,53%"
"Deutschland, Bundesrepublik 6,5% 97/27",113504,"110,06",30.01.25 15:00,110.065,"0,14","6,50%",Euro,"2,18%"
"Autostrade per L'Italia S.p.A. 4,625% 24/36",A3LU18,"102,93",30.01.25 12:58,103.220,"0,71","4,63%",Euro,-
"Volksbank Wien AG 5,192% 17/27",A19P69,"102,86",30.01.25 15:00,102.840,"0,06","5,19%",Euro,-
"ArcelorMittal S.A. 4,875% 22/26",A3K9RZ,"102,74",30.01.25 14:53,102.738,"0,52","4,88%",Euro,-
"BMW Finance N.V. 0,875% 17/25",A19FK6,"99,18",30.01.25 10:13,102.155,"0,02","0,88%",Euro,"-1,09%"
"Linde PLC 3,375% 23/29",A3LJS6,"101,75",30.01.25 15:00,101.990,"0,30","3,38%",Euro,-
"Volkswagen Leasing GmbH 4,5% 23/26",A3514T,"101,84",30.01.25 11:32,101.841,"0,32","4,50%",Euro,-
"Siemens Financieringsmaatschappij N.V. 2,875% 13/28",A1UDWN,"101,23",30.01.25 11:38,101.230,"0,29","2,88%",Euro,"2,43%"
"Coca-Cola Europacific Partners PLC 3,25% 24/32",A3L3QM,"99,67",30.01.25 12:58,99.880,"0,44","3,25%",Euro,-
"Volkswagen International Finance N.V. 3,5%",A1ZYTK,"91,73",30.01.25 15:00,98.039,"0,26","3,50%",Euro,-
"Deutsche Bank AG 1,75% 18/28",DL19T2,"96,42",30.01.25 15:15,96.415,"0,31","1,75%",Euro,"3,05%"
"Volkswagen Financial Services AG 2,25% 18/26",A2LQ6C,"98,92",30.01.25 13:13,95.889,"0,25","2,25%",Euro,"2,91%"
"Mercedes-Benz Group AG 1,375% 16/28",A169NC,"95,45",30.01.25 12:58,95.710,"0,21","1,38%",Euro,"2,78%"
"United States of America 4,625% 24/54",A3LYF1,"97,57",30.01.25 15:40,95.246,"0,11","4,63%",US-Dollar,-
"Deutschland, Bundesrepublik 0,118% 21/33",103058,"96,78",30.01.25 14:31,82.149,"0,37","0,12%",Euro,-
The Goldman Sachs Group Inc. 3% 16/31,A18XVM,"100,54",30.01.25 15:51,80.403,"0,84","3,00%",Euro,"2,91%"
"Photon Energy N.V. 6,5% 21/27",A3KWKY,"52,00",30.01.25 12:36,80.188,"6,12","6,50%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 3,2% 24/25",HLB58V,"99,80",30.01.25 15:00,78.961,"0,00","3,20%",Euro,"-68,18%"
The Goldman Sachs Group Inc. 2% 18/28,A19340,"96,71",30.01.25 15:05,77.507,"-0,20","2,00%",Euro,"2,88%"
"United States of America 4,25% 23/25",A3LST4,"100,22",30.01.25 09:20,77.122,"0,41","4,25%",US-Dollar,-
"Otto GmbH & Co. KG 2,625% 19/26",A2TR80,"99,30",30.01.25 13:16,74.475,"0,56","2,63%",Euro,"3,23%"
"MTU Aero Engines AG 3,875% 24/31",A383RD,"102,10",30.01.25 14:41,71.466,"0,20","3,88%",Euro,-
"Australia, Commonwealth of... 4,25% 24/34",A3LZWB,"99,44",30.01.25 15:00,69.619,"0,30","4,25%",Australische Dollar,-
"Österreich, Republik 0,75% 16/26",A18X6P,"97,34",30.01.25 15:35,67.150,"0,08","0,75%",Euro,"2,32%"
"Deutsche Telekom AG 0,5% 19/27",A2YNSJ,"95,19",30.01.25 15:05,66.787,"0,25","0,50%",Euro,"2,50%"
Wells Fargo & Co. 3% 16/26,A18784,"97,38",30.01.25 13:21,66.506,"0,17","3,00%",US-Dollar,"4,66%"
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 2,9% 23/26",DW6C01,"100,26",30.01.25 12:16,65.169,"0,02","2,90%",Euro,-
"The Dow Chemical Co. 7,375% 99/29",450258,"109,72",30.01.25 14:40,63.510,"0,13","7,38%",US-Dollar,-
"John Deere Capital Corp. 4,15% 22/27",A3K885,"99,12",30.01.25 15:00,63.010,"-0,02","4,15%",US-Dollar,-
"Citigroup Inc. 3,3% 15/25",A1Z0U3,"99,58",30.01.25 13:20,62.263,"0,01","3,30%",US-Dollar,"4,66%"
"Mercedes-Benz International Finance B.V. 0,625% 19/27",A2R9ZU,"95,30",30.01.25 12:58,62.127,"0,18","0,63%",Euro,-
"Deutschland, Bundesrepublik 1,7% 22/32",110260,"95,49",30.01.25 14:31,61.797,"0,40","1,70%",Euro,-
"SAP SE 1,75% 14/27",A13SL3,"98,84",30.01.25 15:51,61.312,"-0,18","1,75%",Euro,"2,03%"
"Mercedes-Benz International Finance B.V. 3,25% 24/32",A3LSYH,"100,33",30.01.25 12:12,61.201,"0,83","3,25%",Euro,-
"Deutsche Post AG 0,75% 20/29",A289XE,"93,46",30.01.25 14:50,58.966,"0,44","0,75%",Euro,-
"Österreich, Republik 2,9% 24/34",A3LTRT,"100,17",30.01.25 14:40,58.128,"0,45","2,90%",Euro,-
KION GROUP AG 4% 24/29,A383W2,"102,02",30.01.25 15:00,56.140,"0,12","4,00%",Euro,-
"HOCHTIEF AG 4,25% 24/30",A383EL,"104,16",30.01.25 13:20,52.080,"1,07","4,25%",Euro,-
"EnBW International Finance B.V. 3,5% 23/28",A3LDC2,"102,09",30.01.25 13:27,51.041,"0,49","3,50%",Euro,-
Landesbank Hessen-Thüringen Girozentrale 4% 23/32,HLB50J,"99,90",30.01.25 15:00,50.450,"0,10","4,00%",Euro,"3,43%"
"Volkswagen Financial Services AG 3,375% 20/28",A2LQ6L,"100,66",30.01.25 14:21,50.284,"0,38","3,38%",Euro,-
"Deutschland, Bundesrepublik 2,4% 25/30",BU2504,"100,40",30.01.25 14:31,50.210,"0,28","2,40%",Euro,-
"Deutschland, Bundesrepublik 2,5% 24/26",BU2204,"100,26",30.01.25 15:00,50.120,"0,05","2,50%",Euro,-
"European Financial Stability Facility [EFSF] 0,2% 15/25",A1G0DE,"99,64",30.01.25 13:37,49.820,"0,53","0,20%",Euro,"1,77%"
Mercedes-Benz Group AG 1% 17/27,A2GSLY,"95,57",30.01.25 13:52,49.678,"1,12","1,00%",Euro,"2,67%"
"Mercedes-Benz International Finance B.V. 1,5% 16/26",A2AAL3,"99,28",30.01.25 11:19,49.640,"0,83","1,50%",Euro,"2,15%"
"Deutsche Telekom International Finance B.V. 1,375% 18/25",A191CV,"98,97",30.01.25 12:58,49.640,"0,03","1,38%",Euro,"2,25%"
"Deutschland, Bundesrepublik 0,000% 21/26",114183,"97,48",30.01.25 15:00,48.720,"0,08",-,Euro,-
"United States of America 4,625% 24/31",A3LZLU,"101,25",30.01.25 15:13,48.697,"0,16","4,63%",US-Dollar,-
"Belgien, Königreich 0,8% 17/27",A19B7A,"96,45",30.01.25 15:45,48.223,"0,19","0,80%",Euro,"2,37%"
"Deutsche Telekom AG 1,75% 19/31",A2TSDE,"93,94",30.01.25 15:51,46.970,"1,08","1,75%",Euro,"2,86%"
"Rumänien, Republik 6% 24/44",A3L3WA,"93,68",30.01.25 15:00,46.888,"0,47","6,00%",Euro,-
"RWE AG 0,5% 21/28",A3MP70,"91,64",30.01.25 15:00,45.850,"0,33","0,50%",Euro,-
Landesbank Hessen-Thüringen Girozentrale 3% 24/25,HLB57H,"99,85",30.01.25 15:00,44.933,"0,00","3,00%",Euro,-
"T-Mobile USA Inc. 3,5% 21/31",A3KNN0,"91,30",30.01.25 15:08,43.911,"0,94","3,50%",US-Dollar,-
"Volkswagen Leasing GmbH 4,75% 23/31",A3514V,"106,45",30.01.25 12:40,42.525,"0,22","4,75%",Euro,-
"Österreich, Republik 2,9% 23/29",A3LGQG,"101,49",30.01.25 15:35,41.583,"0,21","2,90%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 1,15% 19/34",HLB324,"82,80",30.01.25 15:42,41.400,"0,73","1,15%",Euro,-
"Mercedes-Benz International Finance B.V. 3,7% 23/31",A3LH6U,"103,42",30.01.25 15:31,41.383,"0,77","3,70%",Euro,-
"Kreditanstalt für Wiederaufbau 2,5% 22/25",A30VUG,"100,13",30.01.25 14:35,41.048,"0,08","2,50%",Euro,-
"Deutsche Bahn Finance GmbH 3,5% 23/27",A351ZK,"101,89",30.01.25 15:36,40.756,"0,10","3,50%",Euro,-
Bayer AG 4% 23/26,A351UZ,"101,60",30.01.25 15:25,40.640,"0,17","4,00%",Euro,-
"Porsche Automobil Holding SE 4,25% 23/30",A351SX,"103,61",30.01.25 11:01,40.362,"0,07","4,25%",Euro,-
"E.ON SE 3,125% 24/30",A383UX,"100,41",30.01.25 15:00,40.076,"0,25","3,13%",Euro,-
