Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Volkswagen Leasing GmbH 4,5% 23/26",A3514T,"101,84",30.01.25 11:32,101.841,"0,32","4,50%",Euro,-
"RWE AG 0,5% 21/28",A3MP70,"91,48",30.01.25 13:00,45.850,"0,16","0,50%",Euro,-
"Volkswagen Leasing GmbH 4,75% 23/31",A3514V,"106,45",30.01.25 12:40,42.525,"0,22","4,75%",Euro,-
"Mercedes-Benz International Finance B.V. 3,7% 23/31",A3LH6U,"102,98",30.01.25 12:58,31.041,"0,34","3,70%",Euro,-
"Kreditanstalt für Wiederaufbau 0,01% 19/27",A2TED0,"94,80",30.01.25 09:22,24.648,"-0,08","0,01%",Euro,"2,35%"
"E.ON SE 1,625% 22/31",A3MQY9,"91,67",30.01.25 13:00,22.918,"0,30","1,63%",Euro,-
"Kreditanstalt für Wiederaufbau 1,75% 19/29",A2YNRB,"89,68",30.01.25 12:27,16.390,"0,89","1,75%",US-Dollar,"4,28%"
"E.ON SE 3,75% 23/29",A351VG,"103,02",30.01.25 12:56,6.175,"0,13","3,75%",Euro,-
"RWE AG 4,125% 23/35",A30V84,"103,09",30.01.25 13:00,4.119,"0,27","4,13%",Euro,-
"International Bank for Reconstruction and Development 4,25% 21/26",A287WL,"93,98",30.01.25 08:03,2.207,"0,06","4,25%",Mexikanische Pesos,"8,90%"
"European Investment Bank (EIB) 3,75% 23/33",A3LD6X,"94,83",30.01.25 10:30,1.822,"0,14","3,75%",US-Dollar,-
"International Bank for Reconstruction and Development 2,9% 18/25",A2RURL,"97,95",30.01.25 09:22,0,"0,02","2,90%",Australische Dollar,-
"European Investment Bank (EIB) 4,75% 23/33",A3LDAB,"99,96",30.01.25 11:50,0,"0,31","4,75%",Australische Dollar,-
"VGP N.V. 1,625% 22/27",A3K01K,"96,42",29.01.25 09:46,0,"0,00","1,63%",Euro,-
"International Finance Corp. 4,5% 23/26",A3LMAB,"102,42",30.01.25 13:00,0,"0,00","4,50%",Canadische Dollar,-
"Quebec, Provinz 2,6% 18/25",A1927F,"99,79",30.01.25 11:50,0,"0,50","2,60%",Canadische Dollar,"2,81%"
"BASF SE 0,25% 20/27",A289DC,"94,39",30.01.25 13:00,0,"0,16","0,25%",Euro,-
"Deutsche Wohnen SE 0,5% 21/31",A3H25P,"84,03",30.01.25 11:45,0,"0,53","0,50%",Euro,-
"Deutsche Wohnen SE 1,3% 21/41",A3H25Q,"68,26",30.01.25 11:45,0,"1,08","1,30%",Euro,-
"Vonovia SE 2,375% 22/32",A3MQS7,"91,29",30.01.25 08:22,0,"-0,01","2,38%",Euro,-
