Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,24",30.01.25 11:08,"15,38 Mio.","0,02","1,00%",Euro,"2,43%"
"Deutschland, Bundesrepublik 2,5% 23/25",BU2200,"99,98",30.01.25 11:04,606.887,"0,01","2,50%",Euro,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2203,"100,63",30.01.25 11:16,553.435,"0,03","3,10%",Euro,-
"Porsche Automobil Holding SE 4,125% 23/27",A351SW,"102,82",30.01.25 09:20,520.298,"0,19","4,13%",Euro,-
"Deutschland, Bundesrepublik 2% 24/26",BU2207,"99,60",30.01.25 11:22,448.155,"0,09","2,00%",Euro,-
"SNCF S.A. 3,125% 24/34",A3LV5U,"97,64",30.01.25 10:35,292.900,"0,94","3,13%",Euro,-
"Deutschland, Bundesrepublik 0,000% 16/26",110240,"96,76",30.01.25 11:21,290.289,"0,08",-,Euro,"2,20%"
"Deutschland, Bundesrepublik 2,4% 23/28",BU2501,"100,53",30.01.25 11:16,251.325,"0,16","2,40%",Euro,-
"Deutsche Telekom International Finance B.V. 1,5% 16/28",A18Y8M,"96,90",30.01.25 11:18,242.250,"1,20","1,50%",Euro,"2,56%"
"BMW Finance N.V. 4,125% 23/33",A3LPBM,"105,42",30.01.25 10:54,157.870,"0,50","4,13%",Euro,-
"Deutschland, Bundesrepublik 2,6% 23/33",BU2Z01,"101,20",30.01.25 11:16,146.740,"0,36","2,60%",Euro,-
"Südzucker International Finance B.V. 4,125% 25/32",A3L7YF,"99,84",30.01.25 11:33,130.741,"0,41","4,13%",Euro,-
Deutsche Telekom AG 3% 25/32,A4DFD0,"99,79",30.01.25 10:41,124.723,"0,59","3,00%",Euro,-
"Deutschland, Bundesrepublik 6,5% 97/27",113504,"110,00",30.01.25 11:24,109.955,"0,09","6,50%",Euro,"2,19%"
"Autostrade per L'Italia S.p.A. 4,625% 24/36",A3LU18,"103,22",30.01.25 08:55,103.220,"1,00","4,63%",Euro,-
"BMW Finance N.V. 0,875% 17/25",A19FK6,"99,18",30.01.25 10:13,102.155,"0,02","0,88%",Euro,"-1,03%"
"Volkswagen Leasing GmbH 4,5% 23/26",A3514T,"101,84",30.01.25 11:32,101.841,"0,32","4,50%",Euro,-
"Siemens Financieringsmaatschappij N.V. 2,875% 13/28",A1UDWN,"101,23",30.01.25 11:38,101.230,"0,29","2,88%",Euro,"2,49%"
"Coca-Cola Europacific Partners PLC 3,25% 24/32",A3L3QM,"99,88",30.01.25 10:13,99.880,"0,66","3,25%",Euro,-
"Volkswagen International Finance N.V. 3,5%",A1ZYTK,"91,63",30.01.25 10:35,98.039,"0,14","3,50%",Euro,-
"United States of America 4,625% 24/54",A3LYF1,"97,94",30.01.25 11:30,95.246,"0,49","4,63%",US-Dollar,-
"Deutsche Pfandbriefbank AG 4,679% 17/27",A2E4Y4,"95,15",30.01.25 10:44,95.150,"1,29","4,68%",Euro,-
"Deutschland, Bundesrepublik 0,118% 21/33",103058,"96,65",30.01.25 11:20,82.149,"0,23","0,12%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 3,2% 24/25",HLB58V,"99,80",30.01.25 10:00,78.961,"0,00","3,20%",Euro,"7,65%"
"United States of America 4,25% 23/25",A3LST4,"100,22",30.01.25 09:20,77.122,"0,41","4,25%",US-Dollar,-
"E.ON SE 3,5% 25/33",A383X4,"100,42",30.01.25 10:00,75.413,"0,11","3,50%",Euro,-
BERTELSMANN  GEN.2001,522994,"271,00",30.01.25 11:43,75.320,"0,00","15,00%",Euro,"-1,34%"
"Australia, Commonwealth of... 4,25% 24/34",A3LZWB,"99,44",30.01.25 11:50,69.619,"0,30","4,25%",Australische Dollar,-
"Mercedes-Benz International Finance B.V. 0,625% 19/27",A2R9ZU,"95,58",30.01.25 09:33,62.127,"0,47","0,63%",Euro,-
"Deutschland, Bundesrepublik 1,7% 22/32",110260,"95,42",30.01.25 11:14,61.797,"0,33","1,70%",Euro,-
"John Deere Capital Corp. 4,15% 22/27",A3K885,"99,29",30.01.25 11:15,59.190,"0,15","4,15%",US-Dollar,-
"Photon Energy N.V. 6,5% 21/27",A3KWKY,"50,00",30.01.25 10:45,56.988,"2,04","6,50%",Euro,-
"Citigroup Inc. 3,4% 16/26",A180XA,"98,71",30.01.25 10:13,52.224,"0,02","3,40%",US-Dollar,"4,54%"
"Fraport AG Frankfurt Airport Services Worldwide 4,25% 24/32",A383CB,"103,62",30.01.25 10:31,51.810,"0,70","4,25%",Euro,-
Landesbank Hessen-Thüringen Girozentrale 4% 23/32,HLB50J,"100,90",30.01.25 10:29,50.450,"1,10","4,00%",Euro,"3,78%"
"Deutschland, Bundesrepublik 2,5% 24/26",BU2204,"100,25",30.01.25 11:19,50.120,"0,04","2,50%",Euro,-
"Mercedes-Benz International Finance B.V. 1,5% 16/26",A2AAL3,"99,28",30.01.25 11:19,49.640,"0,83","1,50%",Euro,"2,17%"
"Deutschland, Bundesrepublik 0,000% 20/25",114182,"98,41",30.01.25 11:13,49.208,"0,03",-,Euro,-
"Deutschland, Bundesrepublik 0,000% 21/26",114183,"97,46",30.01.25 11:19,48.720,"0,06",-,Euro,-
"The Dow Chemical Co. 7,375% 99/29",450258,"109,75",30.01.25 10:30,47.643,"0,16","7,38%",US-Dollar,-
