Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Volkswagen International Finance N.V. 4,125% 22/25",A3LA6A,"100,96",27.01.25 11:45,201.960,"0,31","4,13%",Euro,-
"Volkswagen Leasing GmbH 4,5% 23/26",A3514T,"101,73",27.01.25 08:01,89.520,"-0,03","4,50%",Euro,-
"E.ON SE 1,625% 22/31",A3MQY9,"91,52",27.01.25 13:00,54.802,"0,40","1,63%",Euro,-
"European Investment Bank (EIB) 2,75% 23/28",A3LD6J,"101,05",27.01.25 13:00,45.539,"0,23","2,75%",Euro,-
"Europäische Union 2,75% 22/33",A3K4DW,"99,42",27.01.25 13:28,28.832,"0,50","2,75%",Euro,-
Kreditanstalt für Wiederaufbau 2% 22/29,A4SAV9,"98,73",27.01.25 10:56,27.644,"1,26","2,00%",Euro,-
"E.ON International Finance B.V. 1,25% 17/27",A19QW4,"96,07",27.01.25 13:24,24.018,"0,43","1,25%",Euro,"2,78%"
"Mercedes-Benz International Finance B.V. 3,5% 23/26",A3LH6T,"101,19",27.01.25 09:58,17.191,"0,03","3,50%",Euro,-
Renewi PLC 3% 21/27,A3KTUZ,"101,00",27.01.25 09:15,10.100,"5,21","3,00%",Euro,-
"RWE AG 2,125% 22/26",A30VJE,"99,08",27.01.25 13:10,9.908,"0,15","2,13%",Euro,-
"Volkswagen Leasing GmbH 4,75% 23/31",A3514V,"106,08",27.01.25 10:24,9.547,"0,84","4,75%",Euro,-
"E.ON SE 3,875% 23/35",A30V8B,"103,50",27.01.25 13:27,8.280,"1,18","3,88%",Euro,-
"Ungarn, Republik 1,75% 20/35",A28X86,"78,10",27.01.25 13:00,7.836,"0,00","1,75%",Euro,-
"RWE AG 0,5% 21/28",A3MP70,"91,39",27.01.25 13:00,4.567,"0,30","0,50%",Euro,-
Berlin Hyp AG 3% 23/33,BHY0GM,"100,93",27.01.25 13:00,1.012,"0,39","3,00%",Euro,-
"International Bank for Reconstruction and Development 2,9% 18/25",A2RURL,"97,89",27.01.25 09:44,0,"0,03","2,90%",Australische Dollar,-
"European Investment Bank (EIB) 4,75% 23/33",A3LDAB,"99,68",27.01.25 11:50,0,"0,51","4,75%",Australische Dollar,-
"VGP N.V. 1,625% 22/27",A3K01K,"96,32",27.01.25 09:44,0,"-0,17","1,63%",Euro,-
