URL,ISIN,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green,Letzter Preis,Veränderung zum Vortag,Letzter Handel,Geld,Brief,Modified Duration,Kupon,Emittent,Branche,Fälligkeit,Schuldnerkündigungsart,Sonderkündigung,Nachrangig,Kleinste handelbare Einheit,Spezialist,Handelsmodell,Emissionsdatum,Emissionsvolumen,Umlaufendes Volumen,Emissionswährung,Depotwährung,Notierungsaufnahme,Emission_year_2020.0,Emission_year_2021.0,Emission_year_2022.0,Emission_year_2023.0,Emission_year_2024.0,Emission_year_2025.0
https://www.boerse-frankfurt.de/anleihe/xs2694874533-volkswagen-leasing-gmbh-4-75-23-31,xs2694874533,volkswagen-leasing-gmbh,4-75-23-31,4.75,23,31,1,"106,88","1,08%",,Brief,,4633,47.5,Volkswagen Leasing GmbH,(Industrie-) und Bankschuldverschreibungen,"25,09,2031",Special call,,,1000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2023-09-25,700000000.0,700000000.0,EUR,EUR,"20,09,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30,xs2482887879,rwe-ag,2-75-22-30,2.75,22,30,1,"99,19","-0,09%",,Brief,,4249,27.5,RWE AG,(Industrie-) und Bankschuldverschreibungen,"24,05,2030",Special call,,,1000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2022-05-24,1000000000.0,1000000000.0,EUR,EUR,"20,05,2022",False,False,True,False,False,False
https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30,xs2482887879,rwe-ag,2-75-22-30,2.75,22,30,1,"99,19","-0,09%",,Brief,,4247,27.5,RWE AG,(Industrie-) und Bankschuldverschreibungen,"24,05,2030",Special call,,,1000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2022-05-24,1000000000.0,1000000000.0,EUR,EUR,"20,05,2022",False,False,True,False,False,False
https://www.boerse-frankfurt.de/anleihe/de000a3lh6t7-mercedes-benz-international-finance-b-v-3-5-23-26,de000a3lh6t7,mercedes-benz-international-finance-b-v,3-5-23-26,3.5,23,26,1,"101,46","0,03%",,Brief,,1194,35,"Mercedes-Benz International Finance B,V,",WÃ¤hrungsanleihen,"30,05,2026",Special call,,,1000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2023-05-30,1000000000.0,1000000000.0,EUR,EUR,"24,05,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/de000a3lh6t7-mercedes-benz-international-finance-b-v-3-5-23-26,de000a3lh6t7,mercedes-benz-international-finance-b-v,3-5-23-26,3.5,23,26,1,"101,46","0,03%",,Brief,,1200,35,"Mercedes-Benz International Finance B,V,",WÃ¤hrungsanleihen,"30,05,2026",Special call,,,1000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2023-05-30,1000000000.0,1000000000.0,EUR,EUR,"24,05,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/xs2694872594-volkswagen-leasing-gmbh-4-625-23-29,xs2694872594,volkswagen-leasing-gmbh,4-625-23-29,4.625,23,29,1,"105,16","0,18%",,Brief,,3339,46.25,Volkswagen Leasing GmbH,(Industrie-) und Bankschuldverschreibungen,"25,03,2029",Special call,,,1000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2023-09-25,500000000.0,500000000.0,EUR,EUR,"20,09,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/xs2694872594-volkswagen-leasing-gmbh-4-625-23-29,xs2694872594,volkswagen-leasing-gmbh,4-625-23-29,4.625,23,29,1,"105,16","0,18%",,Brief,,3337,46.25,Volkswagen Leasing GmbH,(Industrie-) und Bankschuldverschreibungen,"25,03,2029",Special call,,,1000.0,WOLFGANG STEUBING AG,Fortlaufende Auktion,2023-09-25,500000000.0,500000000.0,EUR,EUR,"20,09,2023",False,False,False,True,False,False
https://www.boerse-frankfurt.de/anleihe/xs2482936247-rwe-ag-2-125-22-26,xs2482936247,rwe-ag,2-125-22-26,2.125,22,26,1,99303,"0,14%",,Brief,,1179,21.25,RWE AG,(Industrie-) und Bankschuldverschreibungen,"24,05,2026",Special call,,,1000.0,ICF BANK AG WERTPAPIERHANDELSBANK,Fortlaufende Auktion,2022-05-24,1000000000.0,1000000000.0,EUR,EUR,"20,05,2022",False,False,True,False,False,False
https://www.boerse-frankfurt.de/anleihe/xs2181689659-ungarn-republik-1-75-20-35,xs2181689659,ungarn-republik,1-75-20-35,1.75,20,35,1,"79,26","-0,09%",,Brief,,6084,17.5,Ungarn,WÃ¤hrungsanleihen,"05,06,2035",,,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2020-06-05,1500000000.0,1500000000.0,EUR,EUR,"04,06,2020",True,False,False,False,False,False
https://www.boerse-frankfurt.de/anleihe/xs2584685387-rwe-ag-4-125-23-35,xs2584685387,rwe-ag,4-125-23-35,4.125,23,35,1,"105,39","0,85%",,Brief,,5988,41.25,RWE AG,(Industrie-) und Bankschuldverschreibungen,"13,02,2035",Special call,,,1000.0,BAADER BANK AG,Fortlaufende Auktion,2023-02-13,500000000.0,500000000.0,EUR,EUR,"09,02,2023",False,False,False,True,False,False
